sample_id,stage,latency_s,peak_vram_gb,energy_J,is_warmup
0,image_search,3.013408,15.348945,286.530,1
0,reranker,0.000594,16.188573,0.083,1
0,nli,3.189409,9.973013,650.079,1
1,image_search,2.359952,15.348945,314.299,1
1,reranker,0.000514,16.188573,0.006,1
1,nli,1.197252,2.592401,140.924,1
2,image_search,2.321134,15.348945,306.942,1
2,reranker,0.000521,16.188573,0.036,1
2,nli,0.818439,2.799091,99.608,1
3,image_search,2.380532,15.348945,311.249,1
3,reranker,0.000550,16.188573,0.026,1
3,nli,0.556237,1.889780,58.989,1
4,image_search,2.415470,15.348945,294.452,1
4,reranker,0.000510,16.188573,0.074,1
4,nli,2.731331,9.972648,645.933,1
5,image_search,2.363069,15.348945,310.165,1
5,reranker,0.000634,16.188573,0.061,1
5,nli,3.009868,9.972648,724.453,1
6,image_search,3.558793,15.348945,464.134,1
6,reranker,0.000511,16.188573,0.038,1
6,nli,0.370671,1.530472,43.250,1
7,image_search,3.273019,15.348945,389.816,1
7,reranker,0.000589,16.188573,0.044,1
7,nli,3.034060,9.972648,752.423,1
8,image_search,4.534755,15.348945,579.976,1
8,reranker,0.001029,16.188573,0.085,1
8,nli,2.852852,8.776394,667.588,1
9,image_search,2.341072,15.348945,306.994,1
9,reranker,0.000569,16.188573,0.049,1
9,nli,3.032254,9.972648,757.830,1
10,image_search,2.361107,15.348945,287.925,0
10,reranker,0.000507,16.188573,0.077,0
10,nli,2.689602,9.972648,660.477,0
11,image_search,4.216508,15.348945,547.125,0
11,reranker,0.000456,16.188573,0.074,0
11,nli,2.511323,9.613903,596.223,0
12,image_search,4.641029,15.348945,579.544,0
12,reranker,0.000604,16.188573,0.054,0
12,nli,3.061403,9.972648,750.309,0
13,image_search,2.317061,15.348945,286.255,0
13,reranker,0.000626,16.188573,0.057,0
13,nli,0.961545,3.285725,136.187,0
14,image_search,2.289584,15.348945,300.565,0
14,reranker,0.000567,16.188573,0.039,0
14,nli,0.935543,3.128361,126.330,0
15,image_search,2.354360,15.348945,305.177,0
15,reranker,0.000491,16.188573,0.029,0
15,nli,0.848457,2.932584,98.694,0
16,image_search,4.385773,15.348945,562.474,0
16,reranker,0.000505,16.188573,0.076,0
16,nli,1.988793,6.948897,412.534,0
17,image_search,4.662625,15.348945,600.269,0
17,reranker,0.000590,16.188573,0.056,0
17,nli,3.070137,9.972648,756.508,0
18,image_search,2.354553,15.348945,283.764,0
18,reranker,0.000536,16.188573,0.048,0
18,nli,2.764638,8.436551,643.340,0
19,image_search,2.413354,15.348945,304.238,0
19,reranker,0.000464,16.188573,0.029,0
19,nli,1.370774,4.788882,232.254,0
20,image_search,4.462648,15.348945,522.555,0
20,reranker,0.000458,16.188573,0.033,0
20,nli,1.266867,4.629941,183.451,0
21,image_search,4.467523,15.348945,525.146,0
21,reranker,0.000493,16.188573,0.034,0
21,nli,0.546688,2.160664,53.898,0
22,image_search,2.290045,15.348945,301.308,0
22,reranker,0.000629,16.188573,0.047,0
22,nli,2.293665,8.458800,479.746,0
23,image_search,2.361288,15.348945,314.009,0
23,reranker,0.000866,16.188573,0.075,0
23,nli,1.320074,4.288447,195.848,0
24,image_search,2.362415,15.348945,292.112,0
24,reranker,0.000479,16.188573,0.038,0
24,nli,1.646068,6.017430,289.335,0
25,image_search,4.701293,15.348945,598.213,0
25,reranker,0.000461,16.188573,0.029,0
25,nli,1.321432,4.299860,200.810,0
26,image_search,4.300216,15.348945,558.160,0
26,reranker,0.000493,16.188573,0.044,0
26,nli,2.227026,8.991115,492.345,0
27,image_search,2.407698,15.348945,315.101,0
27,reranker,0.000576,16.188573,0.087,0
27,nli,2.427521,9.877378,557.167,0
28,image_search,2.287919,15.348945,279.339,0
28,reranker,0.000456,16.188573,0.036,0
28,nli,2.984997,9.972648,718.298,0
29,image_search,2.299036,15.348945,277.796,0
29,reranker,0.000480,16.188573,0.047,0
29,nli,3.100590,9.972648,756.466,0
30,image_search,6.537386,15.348945,809.603,0
30,reranker,0.000507,16.188573,0.063,0
